speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,file,s1,s2,s3,var_speaker,,,,sum_ina,0.30239521,0.100798403,,sum_a
S0654,692,417,319,0.602601156,S0655,789,492,368,0.623574144,S0653,2313,1463,1196,0.632511889,3794,2372,0.625197681,1883,SM8E.tsv,0.182393253,0.207959937,0.609646811,0.239635697,0,0,0,0,0,0,0,0
S0370,2319,1358,1056,0.58559724,S0012,1330,920,662,0.691729323,S0013,1086,680,523,0.626151013,4735,2958,0.624709609,2241,SZ8H.tsv,0.489757128,0.280887012,0.229355861,0.137895495,0,0,0,0,0,0,0,0
S0455,2784,1730,1416,0.621408046,S0454,1943,1327,1018,0.682964488,S0452,179,115,94,0.642458101,4906,3172,0.646555238,2528,SM6Y.tsv,0.567468406,0.396045658,0.036485936,0.270989341,0,0,1,1,0,0,0,0
S0655,1017,627,486,0.616519174,S0653,1819,1117,909,0.614073667,S0654,801,565,422,0.70536829,3637,2309,0.634863899,1817,SZ6C.tsv,0.279626065,0.500137476,0.220236459,0.14747711,0,0,0,0,0,0,0,0
S0278,11448,7058,5370,0.616526904,S0012,3082,2380,1702,0.772225827,S0013,2370,1837,1366,0.775105485,16900,11275,0.667159763,8438,SJ3S.tsv,0.67739645,0.182366864,0.140236686,0.298711079,0,0,0,0,0,0,0,0
S0610,5399,3479,2479,0.644378589,S0428,4704,3133,2141,0.666028912,S0612,6018,4546,3054,0.755400465,16121,11158,0.692140686,7674,SR8V.tsv,0.334904783,0.291793313,0.373301904,0.040777012,0,0,0,0,0,0,0,0
S0417,918,546,442,0.594771242,S0416,812,419,353,0.516009852,S0418,37,18,18,0.486486486,1767,983,0.55631013,813,SR87.tsv,0.519524618,0.459535937,0.020939445,0.272198671,0,0,1,1,0,0,0,0
S0152,2587,1730,1266,0.668728257,S0012,2647,1704,1203,0.643747639,S0013,1986,1176,876,0.592145015,7220,4610,0.638504155,3345,S26N.tsv,0.358310249,0.366620499,0.275069252,0.050628968,0,0,0,0,0,0,0,0
S0653,1106,693,572,0.626582278,S0654,1014,386,279,0.380670611,S0655,396,256,171,0.646464646,2516,1335,0.530604134,1022,SEL5.tsv,0.439586645,0.403020668,0.157392687,0.153462051,0,0,0,0,0,0,0,0
S0246,3980,2375,1826,0.596733668,S0245,1698,1149,830,0.676678445,S0244,1934,1184,881,0.612202689,7612,4708,0.61849711,3537,S2W4.tsv,0.522858644,0.223068839,0.254072517,0.164864155,0,0,0,0,0,0,0,0
