Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
no,1,74,"[7, 9, 10, 16, 26, 40, 42, 43, 48, 60, 74, 104, 148, 163, 205, 209, 229, 231, 237, 269, 282, 283, 291, 294, 307, 309, 310, 318, 319, 327, 341, 349, 381, 402, 407, 430, 438, 453, 460, 488, 492, 493, 495, 503, 533, 535, 559, 560, 579, 608, 619, 628, 638, 641, 675, 694, 717, 721, 753, 770, 771, 782, 800, 808, 869, 877, 881, 883, 885, 887, 902, 907, 916, 918, 922, 926, 934, 938, 942, 946, 950, 958, 965, 976, 1023, 1049, 1053, 1079, 1137, 1142, 1149, 1159, 1164, 1179, 1197, 1204, 1228, 1239]",S4HW.tsv
know,1,44,"[21, 43, 44, 52, 61, 67, 75, 136, 146, 154, 156, 160, 165, 192, 262, 265, 292, 294, 305, 329, 330, 373, 377, 423, 467, 485, 486, 541, 543, 588, 637, 653, 712, 756, 784, 786, 799, 801, 808, 836, 866, 890, 896, 898, 901, 940, 955, 956, 957, 963, 965, 975, 978, 997, 998, 1013, 1025, 1028, 1036, 1041, 1057, 1065, 1097, 1099, 1121, 1127, 1195, 1197, 1213, 1217, 1225, 1237]",S4HW.tsv
how,1,75,"[21, 62, 75, 184, 193, 373, 410, 467, 471, 474, 485, 505, 522, 574, 637, 665, 703, 718, 784, 797, 890, 997, 1117, 1121, 1125, 1129, 1130, 1181, 1185, 1228]",S4HW.tsv
up,1,75,"[2, 75, 95, 109, 182, 199, 392, 400, 410, 664, 701, 703, 705, 707, 733, 734, 736, 799, 837, 883, 1019, 1021, 1096, 1111, 1228, 1231, 1236]",S4HW.tsv
know how,2,467,"[21, 75, 467]",S4HW.tsv
his,1,330,"[75, 81, 330, 412, 500, 508, 651, 764, 770, 772, 846, 847, 848, 930, 932, 1004, 1005, 1006, 1007, 1038, 1054, 1055, 1166, 1223, 1225, 1228]",S4HW.tsv
you know,2,75,"[21, 43, 67, 75, 192, 330, 373, 485, 543, 637, 653, 712, 756, 808, 866, 890, 896, 898, 955, 956, 957, 963, 975, 978, 997, 1121, 1195, 1197, 1225]",S4HW.tsv
get a,2,81,"[5, 81, 135, 148, 178, 409, 577, 585, 587, 713, 717, 851, 883, 911, 965, 1004]",S4HW.tsv
all the,2,81,"[27, 57, 81, 1081, 1186, 1228, 1233]",S4HW.tsv
get,1,45,"[5, 27, 29, 42, 45, 52, 54, 81, 95, 104, 105, 117, 123, 126, 127, 135, 137, 148, 160, 164, 169, 178, 193, 194, 197, 213, 221, 261, 284, 285, 290, 301, 336, 379, 392, 409, 453, 455, 459, 478, 503, 505, 522, 528, 569, 572, 577, 585, 587, 588, 591, 592, 593, 603, 604, 613, 636, 649, 699, 713, 717, 777, 784, 804, 808, 851, 860, 883, 906, 911, 912, 965, 970, 978, 994, 998, 1000, 1001, 1004, 1020, 1024, 1025, 1036, 1038, 1055, 1059, 1060, 1061, 1066, 1081, 1100, 1111, 1122, 1151, 1152, 1169, 1184, 1199, 1201, 1208, 1218, 1228]",S4HW.tsv
all,1,55,"[27, 42, 55, 57, 73, 81, 90, 117, 144, 150, 168, 213, 291, 381, 450, 611, 648, 684, 754, 759, 784, 786, 864, 890, 905, 906, 933, 978, 998, 1081, 1110, 1124, 1125, 1131, 1133, 1134, 1186, 1228, 1233]",S4HW.tsv
out,1,81,"[60, 69, 81, 105, 111, 202, 264, 320, 329, 362, 392, 690, 699, 712, 810, 858, 884, 965, 978, 998, 1031, 1069, 1079, 1100]",S4HW.tsv
let,1,81,"[62, 81, 407, 777]",S4HW.tsv
yeah they get,3,636,"[81, 636]",S4HW.tsv
they,1,137,"[81, 137, 196, 200, 213, 255, 276, 280, 281, 450, 605, 614, 635, 636, 651, 654, 655, 656, 660, 661, 665, 669, 671, 674, 678, 680, 699, 703, 730, 779, 781, 782, 784, 786, 808, 854, 864, 869, 883, 885, 896, 906, 908, 941, 948, 963, 965, 970, 976, 994, 997, 1042, 1047, 1118, 1134, 1156, 1204, 1219, 1220, 1228, 1236, 1237]",S4HW.tsv
yeah they,2,655,"[81, 655, 782]",S4HW.tsv
they get,2,699,"[81, 636, 699, 808, 994]",S4HW.tsv
when the,2,620,"[85, 620]",S4HW.tsv
not,1,87,"[2, 7, 12, 44, 51, 80, 87, 88, 96, 103, 135, 148, 151, 175, 192, 195, 207, 311, 313, 362, 381, 402, 407, 444, 535, 536, 539, 571, 573, 588, 591, 592, 593, 603, 636, 651, 687, 713, 726, 761, 768, 788, 803, 804, 833, 850, 865, 899, 918, 926, 938, 948, 958, 978, 980, 984, 1024, 1063, 1067, 1069, 1082, 1083, 1089, 1124, 1135, 1136, 1158, 1166, 1205, 1212, 1228, 1233]",S4HW.tsv
it's,1,87,"[26, 34, 44, 51, 67, 69, 73, 82, 86, 87, 88, 97, 98, 104, 135, 144, 145, 146, 148, 154, 158, 182, 196, 207, 225, 247, 248, 260, 262, 265, 304, 370, 389, 396, 405, 415, 421, 511, 516, 521, 535, 536, 555, 586, 611, 615, 650, 701, 707, 712, 721, 727, 735, 737, 753, 763, 768, 801, 802, 805, 813, 846, 860, 861, 864, 899, 907, 920, 922, 948, 955, 957, 978, 980, 984, 992, 994, 996, 998, 1007, 1020, 1024, 1025, 1052, 1053, 1072, 1083, 1118, 1132, 1135, 1136, 1141, 1142, 1147, 1174, 1181, 1192, 1195, 1205]",S4HW.tsv
it's not,2,87,"[44, 51, 87, 88, 135, 535, 536, 768, 948, 978, 980, 984, 1083, 1135, 1136, 1205]",S4HW.tsv
that's,1,90,"[24, 27, 50, 69, 90, 110, 120, 135, 160, 163, 195, 247, 301, 339, 344, 397, 473, 474, 498, 501, 519, 542, 550, 592, 594, 608, 677, 703, 708, 759, 805, 823, 833, 839, 845, 864, 871, 888, 907, 941, 948, 961, 1010, 1013, 1019, 1020, 1044, 1045, 1047]",S4HW.tsv
there's,1,90,"[43, 90, 133, 154, 163, 196, 314, 333, 349, 456, 511, 632, 638, 743, 761, 805, 810, 860, 965, 998, 1012, 1014, 1015, 1036, 1068, 1091]",S4HW.tsv
there's all,2,998,"[90, 998]",S4HW.tsv
what,1,99,"[18, 43, 88, 99, 107, 112, 116, 123, 137, 157, 160, 163, 188, 201, 213, 216, 218, 245, 247, 267, 268, 273, 303, 306, 343, 367, 371, 385, 386, 420, 424, 496, 515, 530, 537, 543, 546, 561, 581, 616, 645, 677, 680, 708, 712, 716, 719, 720, 759, 764, 766, 769, 770, 772, 785, 786, 796, 823, 825, 831, 841, 849, 891, 894, 897, 901, 913, 932, 948, 955, 957, 961, 964, 982, 987, 993, 995, 997, 1036, 1041, 1058, 1113, 1128, 1145, 1183, 1201, 1202, 1212, 1213, 1222, 1225, 1228, 1236, 1238]",S4HW.tsv
i don't,2,99,"[2, 55, 82, 99, 154, 165, 262, 305, 467, 532, 534, 541, 577, 662, 691, 755, 786, 860, 892, 901, 955, 998, 1013, 1028, 1036, 1053, 1097, 1099, 1104, 1149, 1154, 1213, 1219, 1222, 1231, 1237]",S4HW.tsv
you say,2,720,"[99, 155, 720, 1036, 1064]",S4HW.tsv
what you,2,385,"[99, 385, 948]",S4HW.tsv
more,1,860,"[99, 396, 405, 452, 607, 859, 860, 998, 1122, 1139, 1140]",S4HW.tsv
need,1,73,"[27, 52, 73, 104, 105, 106, 109, 213, 219, 290, 760, 810, 824, 825, 960, 1139, 1159, 1199]",S4HW.tsv
well no,2,104,"[42, 48, 104, 1179]",S4HW.tsv
need to get,3,104,"[52, 104, 105, 290]",S4HW.tsv
to,1,52,"[26, 45, 52, 60, 96, 104, 105, 106, 109, 123, 127, 135, 145, 146, 164, 169, 180, 182, 185, 187, 192, 194, 207, 208, 216, 219, 236, 258, 267, 269, 270, 279, 290, 306, 320, 326, 371, 374, 375, 389, 400, 404, 410, 412, 452, 476, 503, 538, 540, 543, 546, 547, 548, 549, 569, 580, 582, 585, 603, 622, 653, 660, 661, 671, 684, 686, 701, 705, 707, 714, 729, 730, 733, 735, 737, 742, 760, 763, 772, 779, 781, 782, 784, 786, 792, 802, 803, 805, 810, 836, 852, 860, 866, 875, 882, 891, 892, 895, 917, 919, 920, 934, 945, 949, 958, 960, 969, 978, 998, 1042, 1054, 1082, 1097, 1110, 1122, 1139, 1154, 1158, 1163, 1166, 1169, 1199, 1213, 1223, 1228, 1231, 1233, 1236, 1238, 1239, 1242]",S4HW.tsv
no it's,2,104,"[26, 104, 535, 721, 753, 922]",S4HW.tsv
need to,2,109,"[52, 104, 106, 109, 219, 290, 760, 810, 960, 1199]",S4HW.tsv
look,1,106,"[69, 106, 160, 232, 234, 338, 339, 404, 496, 612, 735, 737, 739, 787, 816, 829, 872, 927, 1000, 1012, 1014, 1016, 1048, 1117, 1118]",S4HW.tsv
at,1,106,"[88, 106, 135, 168, 207, 208, 291, 328, 404, 540, 612, 624, 707, 742, 829, 857, 892, 895, 940, 957, 972, 1038, 1227, 1228, 1241]",S4HW.tsv
