speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,file
S0520,3029,1925,1457,0.6355232750082536,S0521,1062,667,485,0.628060263653484,S0519,2655,1118,786,0.42109227871939736,6746,3710,0.5499555292024904,2728,SAAB.tsv
S0519,5165,2976,2241,0.5761858664085189,S0520,4708,3097,2202,0.6578164825828378,S0521,2330,1085,668,0.4656652360515021,12203,7158,0.5865770712119971,5111,SQ3P.tsv
S0475,1100,511,427,0.46454545454545454,S0417,1197,558,435,0.46616541353383456,S0476,32,24,17,0.75,2329,1093,0.46930012881064836,879,SVN7.tsv
S0205,193,128,102,0.6632124352331606,S0204,239,117,98,0.4895397489539749,S0202,674,157,127,0.23293768545994065,1106,402,0.36347197106690776,327,SMNV.tsv
S0004,2018,974,717,0.48265609514370666,S0146,5953,4050,2923,0.6803292457584411,S0018,3419,1648,1148,0.4820122842936531,11390,6672,0.5857769973661107,4788,S4L9.tsv
S0622,2165,1633,1194,0.7542725173210162,S0525,4332,2754,1967,0.6357340720221607,S0617,4751,2017,1335,0.42454220164175965,11248,6404,0.5693456614509246,4496,ST82.tsv
S0058,963,555,466,0.5763239875389408,S0179,1777,613,503,0.3449634214969049,S0091,38,10,10,0.2631578947368421,2778,1178,0.4240460763138949,979,SCNN.tsv
S0520,3691,2166,1674,0.5868328366296397,S0519,2292,1528,1096,0.6666666666666666,S0521,1080,540,345,0.5,7063,4234,0.5994619849922129,3115,S24E.tsv
S0041,15086,11179,7722,0.7410181625348005,S0084,15767,10581,7236,0.6710851779032155,S0046,3986,1686,1081,0.422980431510286,34839,23446,0.6729814288584632,16039,S7GJ.tsv
S0198,2262,1358,1121,0.6003536693191865,S0230,1602,993,751,0.6198501872659176,S0229,1158,558,380,0.48186528497409326,5022,2909,0.5792512943050577,2252,SUWQ.tsv
S0198,1606,880,748,0.547945205479452,S0230,609,349,280,0.5730706075533661,S0229,436,193,141,0.4426605504587156,2651,1422,0.5364013579781215,1169,S78E.tsv
S0520,1495,751,621,0.5023411371237458,S0521,894,470,372,0.5257270693512305,S0519,304,140,108,0.4605263157894737,2693,1361,0.5053843297437802,1101,SKEG.tsv
S0013,1065,659,533,0.6187793427230047,S0012,3289,2262,1712,0.6877470355731226,S0008,6617,2093,1328,0.3163064833005894,10971,5014,0.4570230607966457,3573,SU8C.tsv
S0013,432,299,252,0.6921296296296297,S0012,1552,969,730,0.6243556701030928,S0008,2915,874,617,0.2998284734133791,4899,2142,0.43723208818126147,1599,SKJH.tsv
