speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,s4_and_other,file
4,818,972,8807,0.2103909465020576,127,299,309,83,SEPR.tsv
4,426,707,3878,0.15063649222065065,168,135,3,120,SGSK.tsv
4,1126,1075,11283,0.2618604651162791,342,338,343,103,SB5E.tsv
4,338,491,2615,0.17209775967413443,119,55,78,86,SH64.tsv
4,503,655,4637,0.1919847328244275,147,137,155,64,SX2V.tsv
4,975,1313,12255,0.18564356435643564,334,271,148,222,SCPC.tsv
4,1038,1218,11451,0.21305418719211822,215,277,349,197,SXDQ.tsv
4,1846,1584,16411,0.2913510101010101,500,405,536,405,S6JP.tsv
4,277,441,1936,0.15702947845804988,87,59,78,53,SA2B.tsv
4,1251,1562,11267,0.20022407170294496,385,398,326,142,SJM7.tsv
4,1222,1324,16024,0.23074018126888218,329,351,161,381,SAQD.tsv
4,636,737,6522,0.2157394843962008,214,171,183,68,S4D8.tsv
4,965,1121,9545,0.21520963425512935,219,318,324,104,S43M.tsv
4,1160,1151,9677,0.2519548218940052,232,382,327,219,S2KP.tsv
4,396,618,3091,0.16019417475728157,139,124,91,42,S9WB.tsv
4,862,899,8020,0.2397107897664071,237,97,267,261,SBZ7.tsv
4,862,948,8106,0.22732067510548523,203,218,186,255,S7A6.tsv
4,484,701,3483,0.17261055634807418,179,117,108,80,SFSZ.tsv
4,585,752,4633,0.19448138297872342,216,90,116,163,SFQE.tsv
4,1102,1079,8698,0.25532900834105654,254,255,317,276,SM99.tsv
4,1337,1298,19514,0.2575115562403698,405,216,258,458,SD3R.tsv
4,2560,2567,41306,0.2493182703544994,849,876,749,86,SMW8.tsv
4,1307,1378,12440,0.2371190130624093,310,394,213,390,STXT.tsv
4,876,1044,7076,0.20977011494252873,136,213,264,263,S8CV.tsv
4,409,645,2879,0.15852713178294572,131,114,38,126,S86J.tsv
4,690,1026,8874,0.16812865497076024,322,317,24,27,SVZH.tsv
4,990,1043,10175,0.23729626078619367,350,290,202,148,SZ95.tsv
4,687,779,5189,0.22047496790757382,191,145,209,142,S47C.tsv
4,479,669,4164,0.1789985052316891,169,145,88,77,SEBP.tsv
4,1012,1150,8030,0.22,296,287,285,144,SUKT.tsv
4,1122,1451,11980,0.19331495520330808,354,278,289,201,SP6E.tsv
4,244,479,3014,0.12734864300626306,58,81,95,10,S477.tsv
4,907,1216,10282,0.1864720394736842,332,307,129,139,SVX4.tsv
4,1440,1398,15767,0.2575107296137339,383,389,279,389,S85D.tsv
4,481,673,3595,0.1786775631500743,149,152,139,41,SHKF.tsv
4,1387,1368,13259,0.2534722222222222,284,359,379,365,SJRQ.tsv
4,261,438,2167,0.14897260273972604,62,70,53,76,S8YL.tsv
4,539,821,4904,0.1641291108404385,209,150,156,24,SBKM.tsv
4,315,534,2101,0.14747191011235955,101,71,78,65,S5P8.tsv
4,994,1224,9986,0.20302287581699346,337,300,96,261,SWGV.tsv
4,345,421,2216,0.20486935866983372,82,87,108,68,SNK6.tsv
4,352,496,2289,0.1774193548387097,81,104,92,75,S2Y5.tsv
4,630,839,5863,0.18772348033373062,210,49,227,144,S7JF.tsv
4,499,782,5015,0.15952685421994886,80,185,169,65,SBFN.tsv
4,680,928,7718,0.18318965517241378,233,174,257,16,SZBD.tsv
4,566,729,5397,0.19410150891632372,175,124,167,100,SJFG.tsv
4,746,935,9389,0.19946524064171123,262,236,247,1,SZB2.tsv
4,1900,1832,17615,0.25927947598253276,419,487,489,505,SJHL.tsv
4,1443,1671,14064,0.21588868940754039,437,427,463,116,SV49.tsv
4,786,856,6554,0.22955607476635514,149,177,263,197,SCZV.tsv
4,372,505,2635,0.18415841584158416,122,95,102,53,S67P.tsv
4,262,445,2287,0.14719101123595504,113,109,39,1,SQQX.tsv
4,307,487,2089,0.15759753593429157,56,97,71,83,S8TN.tsv
4,997,1144,8294,0.2178758741258741,286,263,312,136,SKL3.tsv
4,1018,1163,10446,0.2188306104901118,309,151,226,332,SG56.tsv
4,709,740,4921,0.23952702702702702,141,155,201,212,SWF6.tsv
4,393,505,2665,0.19455445544554456,136,126,61,70,SBPW.tsv
4,1649,1800,18126,0.22902777777777777,349,464,462,374,S263.tsv
4,1419,1296,12365,0.27372685185185186,456,412,293,258,SZAK.tsv
4,566,719,4722,0.19680111265646733,186,176,170,34,STA2.tsv
4,506,670,3390,0.18880597014925374,115,101,150,140,SA9P.tsv
4,1180,1384,15024,0.21315028901734104,397,208,248,327,SFER.tsv
4,2309,1787,27962,0.32302742025741465,622,569,429,689,S4TV.tsv
4,524,685,5042,0.19124087591240876,143,97,170,114,SJSS.tsv
4,1032,1089,7747,0.2369146005509642,234,279,294,225,SLJW.tsv
4,285,426,1744,0.16725352112676056,44,66,84,91,SKA7.tsv
4,1479,1547,16018,0.23901098901098902,421,303,360,395,SYHP.tsv
