speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,file,av_er_ratio
3,480,573,2378,0.279232112,181,177,122,STDN.tsv,0.566442389
3,383,462,2047,0.276334776,155,127,101,S4KE.tsv,0.474841231
3,817,879,4855,0.309821767,304,297,216,SXGX.tsv,0.62033409
3,1890,1742,21336,0.361653272,664,560,666,SMRV.tsv,0.683751465
3,1066,1096,10064,0.324209246,398,429,239,SDZC.tsv,0.648024012
3,854,936,7302,0.304131054,343,178,333,SVDM.tsv,0.620788825
3,360,441,2249,0.272108844,156,128,76,SQBK.tsv,0.521120498
3,521,530,2799,0.327672956,209,143,169,SF7M.tsv,0.596998928
3,942,1117,7552,0.281110116,374,331,237,SDUM.tsv,0.623146186
3,1339,1257,12338,0.355078229,440,481,418,SXR9.tsv,0.675278252
3,2074,2172,23581,0.318293432,787,814,473,SVR6.tsv,0.698379708
3,910,880,5945,0.34469697,336,314,260,STJD.tsv,0.644347241
3,328,417,1686,0.262190248,49,145,134,SRGR.tsv,0.516746411
3,411,507,2720,0.270216963,179,183,49,SGFN.tsv,0.609191176
3,1622,1519,18683,0.355935923,499,569,554,SN8K.tsv,0.682813253
3,1020,1054,7568,0.322580645,313,388,319,SNAC.tsv,0.65847829
3,1525,1512,15518,0.336199295,590,554,381,SN64.tsv,0.694397831
3,1021,959,8210,0.354883559,292,385,344,S776.tsv,0.673325213
3,485,600,2870,0.269444444,137,161,187,SWLS.tsv,0.408362369
3,682,706,4159,0.322001889,260,227,195,SLT4.tsv,0.600433005
3,596,719,4980,0.276309689,87,259,250,SYNT.tsv,0.537148594
3,1852,1456,25965,0.423992674,608,562,682,SP2Y.tsv,0.680569998
3,524,542,2861,0.322263223,207,178,139,SBNC.tsv,0.585110101
3,1552,1617,17681,0.319934034,610,606,336,SNYG.tsv,0.676050753
3,495,470,2858,0.35106383,158,154,183,SE2A.tsv,0.590972708
3,480,629,4049,0.254372019,240,239,1,S3CK.tsv,0.63645369
3,298,410,2305,0.242276423,147,145,6,S8Q3.tsv,0.570498915
3,530,566,3018,0.31213192,158,217,155,SQU6.tsv,0.549039099
3,652,897,6455,0.242289112,291,66,295,STG7.tsv,0.620700341
3,1922,2112,23777,0.30334596,868,871,183,STSS.tsv,0.695588173
3,1131,1147,9371,0.328683522,433,389,309,SCPR.tsv,0.652039291
3,459,440,2151,0.347727273,165,142,152,SXH5.tsv,0.595348837
3,936,980,7071,0.318367347,196,368,372,SFMJ.tsv,0.618663268
3,601,692,3474,0.289499037,257,259,85,SX3B.tsv,0.605066206
3,721,955,6003,0.251657941,334,334,53,SHBJ.tsv,0.614084978
3,436,443,2596,0.328066215,139,173,124,SXQ6.tsv,0.579352851
3,1591,1475,18642,0.359548023,625,587,379,S8PW.tsv,0.701105032
3,524,705,4938,0.247754137,258,257,9,SHX2.tsv,0.625684723
3,1009,1170,9011,0.287464387,359,388,262,SJ4X.tsv,0.595134955
3,741,748,4466,0.330213904,269,216,256,S37E.tsv,0.597536394
3,404,501,2621,0.268795742,184,39,181,SYTL.tsv,0.579111458
3,1212,1169,9174,0.345594525,430,416,366,S575.tsv,0.6558753
3,1904,1929,24982,0.329013306,682,710,512,SW6A.tsv,0.683692258
3,1893,1867,19958,0.337975362,689,632,572,SP2X.tsv,0.697665097
3,483,546,3094,0.294871795,199,90,194,S79Y.tsv,0.594376212
3,670,637,4111,0.350601779,263,221,186,S57G.tsv,0.600536847
3,1649,1725,20110,0.318647343,390,642,617,SL8N.tsv,0.635206365
3,1514,1510,18069,0.334216336,600,581,333,S7TT.tsv,0.690076927
3,613,590,3859,0.346327684,214,180,219,S2JV.tsv,0.572946359
3,1078,1087,9127,0.330573444,384,409,285,SE3W.tsv,0.631157433
3,554,535,3065,0.34517134,163,175,216,SXPW.tsv,0.576508972
3,367,415,1786,0.294779116,123,134,110,SFC2.tsv,0.56774916
3,563,550,3077,0.341212121,189,222,152,SH8K.tsv,0.598167539
3,1549,1376,16719,0.375242248,439,558,552,SF8D.tsv,0.662359416
3,280,360,1634,0.259259259,139,138,3,SH6W.tsv,0.545511222
3,839,939,7408,0.297834576,332,163,344,S6GC.tsv,0.637751655
3,615,620,5162,0.330645161,231,197,187,SMF5.tsv,0.640449438
3,1048,1082,11015,0.322858903,273,378,397,SVRQ.tsv,0.647026782
3,541,623,3519,0.289459604,223,216,102,SZ2V.tsv,0.615954416
3,909,964,8287,0.314315353,329,348,232,SU6F.tsv,0.660587027
3,871,850,6569,0.341568627,327,262,282,SKKB.tsv,0.637111517
3,1111,994,9276,0.372568746,419,413,279,S2PY.tsv,0.677878396
3,1142,972,11464,0.391632373,321,399,422,SY4A.tsv,0.633199581
3,406,483,2184,0.280193237,170,75,161,SBZW.tsv,0.5746337
3,536,636,2944,0.280922432,140,198,198,S2RD.tsv,0.537645448
