speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,s4_and_other,file,av_er_ratio
4,1197,899,8020,0.332869855,329,159,360,349,SBZ7.tsv,0.639329916
4,1239,948,8106,0.326740506,298,314,271,356,S7A6.tsv,0.632930141
4,749,701,3483,0.267118402,260,183,176,130,SFSZ.tsv,0.587137525
4,852,752,4633,0.283244681,297,140,179,236,SFQE.tsv,0.625080941
4,1482,1079,8698,0.343373494,348,350,413,371,SM99.tsv,0.659727041
4,1744,1298,19514,0.335901387,509,312,354,569,SD3R.tsv,0.710524965
4,2971,2567,41306,0.28934554,968,998,868,137,SMW8.tsv,0.712026926
4,1698,1378,12440,0.308055152,403,500,297,498,STXT.tsv,0.663156202
4,1229,1044,7076,0.294300766,208,305,358,358,S8CV.tsv,0.604720181
4,645,645,2879,0.25,207,183,67,188,S86J.tsv,0.588523443
4,948,1026,8874,0.230994152,423,416,53,56,SVZH.tsv,0.671365738
4,1342,1043,10175,0.321668265,447,386,285,224,SZ95.tsv,0.67243924
4,1021,779,5189,0.327663671,279,222,301,219,S47C.tsv,0.613276727
4,775,669,4164,0.28961136,259,226,149,141,SEBP.tsv,0.604226705
4,1371,1150,8030,0.298043478,396,383,377,215,SUKT.tsv,0.630386052
4,1536,1451,11980,0.264645072,465,381,390,300,SP6E.tsv,0.662211828
4,456,479,3014,0.237995825,119,142,164,31,S477.tsv,0.534351145
4,1258,1216,10282,0.258634868,437,406,205,210,SVX4.tsv,0.668158817
4,1856,1398,15767,0.331902718,489,495,377,495,S85D.tsv,0.664082852
4,744,673,3595,0.276374443,221,230,210,83,SHKF.tsv,0.61070831
4,1787,1368,13259,0.326571637,378,462,481,466,SJRQ.tsv,0.680459076
4,507,438,2167,0.289383562,122,137,104,144,S8YL.tsv,0.573142593
4,809,821,4904,0.24634592,297,230,235,47,SBKM.tsv,0.627982868
4,535,534,2101,0.250468165,165,116,138,116,S5P8.tsv,0.535251799
4,1354,1224,9986,0.276552288,442,400,155,357,SWGV.tsv,0.666031873
4,579,421,2216,0.343824228,145,153,178,103,SNK6.tsv,0.597291196
4,589,496,2289,0.296875,133,169,155,132,S2Y5.tsv,0.577544779
4,922,839,5863,0.274731824,299,90,314,219,S7JF.tsv,0.632099608
4,789,782,5015,0.252237852,144,271,255,119,SBFN.tsv,0.549639712
4,991,928,7718,0.266971983,335,260,363,33,SZBD.tsv,0.652630215
4,882,729,5397,0.302469136,262,191,253,176,SJFG.tsv,0.615527145
4,1037,935,9389,0.277272727,361,331,342,3,SZB2.tsv,0.689104271
4,2326,1832,17615,0.317412664,525,595,598,608,SJHL.tsv,0.660629876
4,1827,1671,14064,0.273339318,539,531,574,183,SV49.tsv,0.647397611
4,1129,856,6554,0.329731308,225,257,357,290,SCZV.tsv,0.624942757
