speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,speaker4,speaker4_token_number,speaker4_expression_token_number,speaker4_expression_number,speaker4_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,file
S0094,5689,3064,1906,0.5385832307962735,S0095,2275,1201,713,0.5279120879120879,S0032,5868,3022,1822,0.5149965916837083,S0021,7251,4115,2508,0.5675079299406979,21083,11402,0.540814874543471,6949,S23A.tsv
S0567,2494,1378,802,0.5525260625501203,S0623,6031,2922,1763,0.4844967667053557,S0620,2203,1214,731,0.5510667271901952,S0611,4226,1998,1195,0.4727875059157596,14954,7512,0.5023405109000936,4491,S2EF.tsv
S0405,5736,2845,1711,0.49599023709902373,S0402,4686,2633,1565,0.5618864703371745,S0555,7093,4130,2364,0.5822642041449316,S0554,1775,862,509,0.4856338028169014,19290,10470,0.5427682737169518,6149,S784.tsv
S0058,10,0,0,0.0,S0432,3905,2197,1337,0.5626120358514725,S0439,6504,2967,1888,0.4561808118081181,S0428,104,54,33,0.5192307692307693,10523,5218,0.4958661978523235,3258,SES6.tsv
S0328,7688,4017,2449,0.5225026014568158,S0331,5126,2982,1806,0.5817401482637534,S0330,6395,3747,2219,0.5859265050820954,S0326,1593,766,467,0.48085373509102325,20802,11512,0.5534083261224882,6941,SBM6.tsv
S0252,3723,1907,1191,0.5122213268869191,S0251,2388,1086,672,0.4547738693467337,S0369,4060,1746,1072,0.43004926108374386,S0368,2603,1262,769,0.48482520169035725,12774,6001,0.4697823704399562,3704,S355.tsv
S0328,3890,1704,1063,0.43804627249357325,S0326,1252,634,378,0.5063897763578274,S0331,2165,1253,783,0.5787528868360278,S0330,1501,761,484,0.5069953364423717,8808,4352,0.4940962761126249,2708,S3M9.tsv
S0094,2733,1289,831,0.4716428832784486,S0040,3727,1721,1084,0.46176549503622216,S0095,1590,945,586,0.5943396226415094,S0001,2656,1124,719,0.42319277108433734,10706,5079,0.47440687464972914,3220,S8JW.tsv
S0121,50,11,7,0.22,S0053,98,19,14,0.19387755102040816,S0124,58,11,8,0.1896551724137931,S0061,821,181,127,0.220462850182704,1027,222,0.21616358325219084,156,S3TZ.tsv
S0525,11861,6206,3833,0.5232273838630807,S0641,4034,1942,1173,0.4814080317302925,S0617,2951,1561,949,0.528973229413758,S0622,4535,3213,1851,0.708489525909592,23381,12922,0.5526709721568795,7806,SA2J.tsv
S0252,3898,1753,1109,0.44971780400205236,S0368,3294,1709,1047,0.5188221007893139,S0251,2615,1247,789,0.4768642447418738,S0369,7487,3832,2293,0.5118204888473353,17294,8541,0.4938707066034463,5238,S4QF.tsv
S0655,610,244,164,0.4,S0653,1926,660,429,0.3426791277258567,S0654,426,197,114,0.4624413145539906,S0652,762,271,182,0.3556430446194226,3724,1372,0.3684210526315789,889,S3N4.tsv
S0086,1942,899,566,0.4629248197734295,S0084,1746,965,590,0.5526918671248569,S0038,5498,2883,1738,0.5243724990905784,S0083,5960,3073,1866,0.5156040268456376,15146,7820,0.5163079360887363,4760,S35U.tsv
S0687,1846,587,369,0.3179848320693391,S0689,1382,567,378,0.41027496382054995,S0688,1559,643,414,0.4124438742783836,S0690,754,422,271,0.5596816976127321,5541,2219,0.4004692293809782,1432,S9ZL.tsv
S0198,7010,4516,2641,0.6442225392296719,S0233,7671,3863,2237,0.5035849302568114,S0192,12318,6689,4035,0.5430264653352816,S0234,7908,4505,2591,0.5696762771876581,34907,19573,0.5607184805339903,11504,SL9V.tsv
S0376,904,425,274,0.47013274336283184,S0104,4102,1917,1157,0.46733300828863966,S0374,3586,1271,839,0.3544339096486336,S0167,2426,1608,966,0.6628194558944766,11018,5221,0.47386095480123436,3236,SW5B.tsv
S0235,32888,22169,11796,0.674075650693262,S0192,39977,25410,14123,0.6356154789003677,S0198,27628,17850,9631,0.6460836832199218,S0236,14044,8736,4819,0.6220450014240957,114537,74165,0.6475200153662135,40369,SUVQ.tsv
S0192,2537,1202,769,0.47378793851005124,S0198,4478,2096,1336,0.4680661009379187,S0229,507,228,146,0.44970414201183434,S0230,1961,990,624,0.5048444671086181,9483,4516,0.47622060529368343,2875,SN98.tsv
S0604,4307,2690,1585,0.62456466217785,S0605,1918,978,579,0.5099061522419187,S0603,7058,3471,2115,0.4917823746103712,S0493,7763,4315,2560,0.5558418137318047,21046,11454,0.5442364344768602,6839,SR3K.tsv
